id,country,startingPop,area,startingArmy
0,China,1447065329,"9,706,961 ",NULL
1,India,1401310563,"3,287,590 ",NULL
2,"United States",334058426,"9,372,610 ",NULL
3,Indonesia,278037263,"1,904,569 ",NULL
4,Pakistan,227724796,"881,912 ",NULL
5,Brazil,214832901,"8,515,767 ",NULL
6,Nigeria,214507696,"923,768 ",NULL
7,Bangladesh,167247491,"147,570 ",NULL
8,Russia,145899956,"17,098,242 ",NULL
9,Mexico,131046075,"1,964,375 ",NULL
10,Japan,125802521,"377,930 ",NULL
11,Ethiopia,119590501,"1,104,300 ",NULL
12,Philippines,111913102,"342,353 ",NULL
13,Egypt,105390688,"1,002,450 ",NULL
14,Vietnam,98655916,"331,212 ",NULL
15,Turkey,85484777,"783,562 ",NULL
16,Iran,85627052,"1,648,195 ",NULL
17,Germany,83975691,"357,114 ",NULL
18,Thailand,70039646,"513,120 ",NULL
19,"United Kingdom",68401087,"242,900 ",NULL
20,France,65520147,"551,695 ",NULL
21,Tanzania,62539416,"945,087 ",NULL
22,Italy,60320493,"301,336 ",NULL
23,"South Africa",60474550,"1,221,037 ",NULL
24,Kenya,55703607,"580,367 ",NULL
25,Myanmar,55037700,"676,578 ",NULL
26,"South Korea",51331264,"100,210 ",NULL
27,Colombia,51504213,"1,141,748 ",NULL
28,Uganda,47942521,"241,550 ",NULL
29,Spain,46736811,"505,992 ",NULL
30,Argentina,45847428,"2,780,400 ",NULL
31,Sudan,45532863,"1,886,068 ",NULL
32,Algeria,45061896,"2,381,741 ",NULL
33,Ukraine,43312073,"603,500 ",NULL
34,Iraq,41750703,"438,317 ",NULL
35,Afghanistan,40374668,"652,230 ",NULL
36,Canada,38261228,"9,984,670 ",NULL
37,Poland,37764461,"312,679 ",NULL
38,Morocco,37599544,"446,550 ",NULL
39,"Saudi Arabia",35659227,"2,149,690 ",NULL
40,Uzbekistan,34207969,"447,400 ",NULL
41,Angola,34566172,"1,246,700 ",NULL
42,Peru,33587011,"1,285,216 ",NULL
43,Malaysia,33015425,"330,803 ",NULL
44,Mozambique,32696683,"801,590 ",NULL
45,Ghana,32120718,"238,533 ",NULL
46,Yemen,30882462,"527,968 ",NULL
47,Nepal,29960704,"147,181 ",NULL
48,Venezuela,28842889,"916,445 ",NULL
49,Madagascar,28860961,"587,041 ",NULL
50,Cameroon,27624492,"475,442 ",NULL
51,"Ivory Coast",27451054,"322,463 ",NULL
52,"North Korea",25950189,"120,538 ",NULL
53,Australia,25959987,"7,692,024 ",NULL
54,Niger,25677816,"1,267,000 ",NULL
55,Taiwan,23877855,"36,193 ",NULL
56,"Sri Lanka",21547096,"65,610 ",NULL
57,"Burkina Faso",21847968,"272,967 ",NULL
58,Mali,21212426,"1,240,192 ",NULL
59,Malawi,19953296,"118,484 ",NULL
60,Chile,19275294,"756,102 ",NULL
61,Romania,19062255,"238,391 ",NULL
62,Kazakhstan,19123199,"2,724,900 ",NULL
63,Zambia,19238117,"752,612 ",NULL
64,Syria,18646187,"185,180 ",NULL
65,Guatemala,18446417,"108,889 ",NULL
66,Ecuador,18033738,"276,841 ",NULL
67,Senegal,17462688,"196,722 ",NULL
68,Netherlands,17195298,"41,850 ",NULL
69,Cambodia,17080063,"181,035 ",NULL
70,Chad,17203787,"1,284,000 ",NULL
71,Somalia,16634297,"637,657 ",NULL
72,Zimbabwe,15229891,"390,757 ",NULL
73,Guinea,13709966,"245,857 ",NULL
74,Rwanda,13466174,"26,338 ",NULL
75,Benin,12644580,"112,622 ",NULL
76,Burundi,12469663,"27,834 ",NULL
77,Tunisia,12003225,"163,610 ",NULL
78,Bolivia,11927124,"1,098,581 ",NULL
79,Belgium,11658404,"30,528 ",NULL
80,Haiti,11623799,"27,750 ",NULL
81,"South Sudan",11493450,"619,745 ",NULL
82,Cuba,11312548,"109,884 ",NULL
83,"Dominican Republic",11015774,"48,671 ",NULL
84,"Czech Republic",10732960,"78,865 ",NULL
85,Greece,10340571,"131,990 ",NULL
86,Jordan,10322902,"89,342 ",NULL
87,Azerbaijan,10272912,"86,600 ",NULL
88,Portugal,10150252,"92,090 ",NULL
89,Sweden,10196161,"450,295 ",NULL
90,Honduras,10156097,"112,492 ",NULL
91,"United Arab Emirates",10051436,"83,600 ",NULL
92,Tajikistan,9873338,"143,100 ",NULL
93,Hungary,9618215,"93,028 ",NULL
94,Belarus,9438767,"207,600 ",NULL
95,"Papua New Guinea",9220306,"462,840 ",NULL
96,Austria,9065484,"83,871 ",NULL
97,Israel,8868656,"20,770 ",NULL
98,Switzerland,8752564,"41,284 ",NULL
99,Serbia,8674489,"88,361 ",NULL
100,Togo,8596357,"56,785 ",NULL
101,"Sierra Leone",8238113,"71,740 ",NULL
102,"Hong Kong",7585785,"1,104 ",NULL
103,Laos,7439920,"236,800 ",NULL
104,Paraguay,7270717,"406,752 ",NULL
105,Libya,7007887,"1,759,540 ",NULL
106,Bulgaria,6866274,"110,879 ",NULL
107,Lebanon,6752766,"10,452 ",NULL
108,Nicaragua,6748507,"130,373 ",NULL
109,Kyrgyzstan,6689349,"199,951 ",NULL
110,"El Salvador",6537250,"21,041 ",NULL
111,Turkmenistan,6168788,"488,100 ",NULL
112,Singapore,5925135,"710 ",NULL
113,Denmark,5825798,"43,094 ",NULL
114,Finland,5553102,"338,424 ",NULL
115,Norway,5492570,"323,802 ",NULL
116,Slovakia,5460937,"49,037 ",NULL
117,Oman,5296006,"309,500 ",NULL
118,Palestine,5293440,"6,220 ",NULL
119,Liberia,5252834,"111,369 ",NULL
120,"Costa Rica",5165346,"51,100 ",NULL
121,Ireland,5008554,"70,273 ",NULL
122,"Central African Republic",4971922,"622,984 ",NULL
123,"New Zealand",4883704,"270,467 ",NULL
124,Mauritania,4848828,"1,030,700 ",NULL
125,Panama,4420589,"75,417 ",NULL
126,Kuwait,4366698,"17,818 ",NULL
127,Croatia,4067642,"56,594 ",NULL
128,Moldova,4017984,"33,846 ",NULL
129,Georgia,3973946,"69,700 ",NULL
130,Eritrea,3633796,"117,600 ",NULL
131,Uruguay,3491832,"181,034 ",NULL
132,Mongolia,3359247,"1,564,110 ",NULL
133,"Bosnia And Herzegovina",3251612,"51,209 ",NULL
134,Jamaica,2980575,"10,991 ",NULL
135,Armenia,2970929,"29,743 ",NULL
136,Qatar,2962425,"11,586 ",NULL
137,Albania,2869700,"28,748 ",NULL
138,"Puerto Rico",2806918,"8,870 ",NULL
139,Lithuania,2670680,"65,300 ",NULL
140,Namibia,2614500,"825,615 ",NULL
141,Gambia,2528326,"10,689 ",NULL
142,Botswana,2423535,"582,000 ",NULL
143,Gabon,2310507,"267,668 ",NULL
144,Lesotho,2169209,"30,355 ",NULL
145,"North Macedonia",2082011,"25,713 ",NULL
146,Slovenia,2078724,"20,273 ",NULL
147,"Guinea Bissau",2043512,"36,125 ",NULL
148,Latvia,1855735,"64,559 ",NULL
149,Bahrain,1775452,"765 ",NULL
150,"Equatorial Guinea",1477483,"28,051 ",NULL
151,"Trinidad And Tobago",1405746,"5,130 ",NULL
152,"Timor Leste",1358744,"14,874 ",NULL
153,Estonia,1324323,"45,227 ",NULL
154,Mauritius,1274295,"2,040 ",NULL
155,Cyprus,1220541,"9,251 ",NULL
156,Djibouti,1010377,"23,200 ",NULL
157,Fiji,906570,"18,272 ",NULL
158,Reunion,905350,"2,511 ",NULL
159,Comoros,899658,"1,862 ",NULL
160,Guyana,792481,"214,969 ",NULL
161,Bhutan,784855,"38,394 ",NULL
162,"Solomon Islands",714126,"28,896 ",NULL
163,Macau,663998,"30 ",NULL
164,Luxembourg,640202,"2,586 ",NULL
165,Montenegro,628053,"13,812 ",NULL
166,"Western Sahara",620280,"266,000 ",NULL
167,Suriname,594817,"163,820 ",NULL
