id,country,startingPop,area,area,,,
0,China,1447065329,"9,706,961 sq_km","9,706,961 ",,,
1,India,1401310563,"3,287,590 sq_km","3,287,590 ",,,
2,United States,334058426,"9,372,610 sq_km","9,372,610 ",,,
3,Indonesia,278037263,"1,904,569 sq_km","1,904,569 ",,,
4,Pakistan,227724796,"881,912 sq_km","881,912 ",,,
5,Brazil,214832901,"8,515,767 sq_km","8,515,767 ",,,
6,Nigeria,214507696,"923,768 sq_km","923,768 ",,,
7,Bangladesh,167247491,"147,570 sq_km","147,570 ",,,
8,Russia,145899956,"17,098,242 sq_km","17,098,242 ",,,
9,Mexico,131046075,"1,964,375 sq_km","1,964,375 ",,,
10,Japan,125802521,"377,930 sq_km","377,930 ",,,
11,Ethiopia,119590501,"1,104,300 sq_km","1,104,300 ",,,
12,Philippines,111913102,"342,353 sq_km","342,353 ",,,
13,Egypt,105390688,"1,002,450 sq_km","1,002,450 ",,,
14,Vietnam,98655916,"331,212 sq_km","331,212 ",,,
15,Turkey,85484777,"783,562 sq_km","783,562 ",,,
16,Iran,85627052,"1,648,195 sq_km","1,648,195 ",,,
17,Germany,83975691,"357,114 sq_km","357,114 ",,,
18,Thailand,70039646,"513,120 sq_km","513,120 ",,,
19,United Kingdom,68401087,"242,900 sq_km","242,900 ",,,
20,France,65520147,"551,695 sq_km","551,695 ",,,
21,Tanzania,62539416,"945,087 sq_km","945,087 ",,,
22,Italy,60320493,"301,336 sq_km","301,336 ",,,
23,South Africa,60474550,"1,221,037 sq_km","1,221,037 ",,,
24,Kenya,55703607,"580,367 sq_km","580,367 ",,,
25,Myanmar,55037700,"676,578 sq_km","676,578 ",,,
26,South Korea,51331264,"100,210 sq_km","100,210 ",,,
27,Colombia,51504213,"1,141,748 sq_km","1,141,748 ",,,
28,Uganda,47942521,"241,550 sq_km","241,550 ",,,
29,Spain,46736811,"505,992 sq_km","505,992 ",,,
30,Argentina,45847428,"2,780,400 sq_km","2,780,400 ",,,
31,Sudan,45532863,"1,886,068 sq_km","1,886,068 ",,,
32,Algeria,45061896,"2,381,741 sq_km","2,381,741 ",,,
33,Ukraine,43312073,"603,500 sq_km","603,500 ",,,
34,Iraq,41750703,"438,317 sq_km","438,317 ",,,
35,Afghanistan,40374668,"652,230 sq_km","652,230 ",,,
36,Canada,38261228,"9,984,670 sq_km","9,984,670 ",,,
37,Poland,37764461,"312,679 sq_km","312,679 ",,,
38,Morocco,37599544,"446,550 sq_km","446,550 ",,,
39,Saudi Arabia,35659227,"2,149,690 sq_km","2,149,690 ",,,
40,Uzbekistan,34207969,"447,400 sq_km","447,400 ",,,
41,Angola,34566172,"1,246,700 sq_km","1,246,700 ",,,
42,Peru,33587011,"1,285,216 sq_km","1,285,216 ",,,
43,Malaysia,33015425,"330,803 sq_km","330,803 ",,,
44,Mozambique,32696683,"801,590 sq_km","801,590 ",,,
45,Ghana,32120718,"238,533 sq_km","238,533 ",,,
46,Yemen,30882462,"527,968 sq_km","527,968 ",,,
47,Nepal,29960704,"147,181 sq_km","147,181 ",,,
48,Venezuela,28842889,"916,445 sq_km","916,445 ",,,
49,Madagascar,28860961,"587,041 sq_km","587,041 ",,,
50,Cameroon,27624492,"475,442 sq_km","475,442 ",,,
51,Ivory Coast,27451054,"322,463 sq_km","322,463 ",,,
52,North Korea,25950189,"120,538 sq_km","120,538 ",,,
53,Australia,25959987,"7,692,024 sq_km","7,692,024 ",,,
54,Niger,25677816,"1,267,000 sq_km","1,267,000 ",,,
55,Taiwan,23877855,"36,193 sq_km","36,193 ",,,
56,Sri Lanka,21547096,"65,610 sq_km","65,610 ",,,
57,Burkina Faso,21847968,"272,967 sq_km","272,967 ",,,
58,Mali,21212426,"1,240,192 sq_km","1,240,192 ",,,
59,Malawi,19953296,"118,484 sq_km","118,484 ",,,
60,Chile,19275294,"756,102 sq_km","756,102 ",,,
61,Romania,19062255,"238,391 sq_km","238,391 ",,,
62,Kazakhstan,19123199,"2,724,900 sq_km","2,724,900 ",,,
63,Zambia,19238117,"752,612 sq_km","752,612 ",,,
64,Syria,18646187,"185,180 sq_km","185,180 ",,,
65,Guatemala,18446417,"108,889 sq_km","108,889 ",,,
66,Ecuador,18033738,"276,841 sq_km","276,841 ",,,
67,Senegal,17462688,"196,722 sq_km","196,722 ",,,
68,Netherlands,17195298,"41,850 sq_km","41,850 ",,,
69,Cambodia,17080063,"181,035 sq_km","181,035 ",,,
70,Chad,17203787,"1,284,000 sq_km","1,284,000 ",,,
71,Somalia,16634297,"637,657 sq_km","637,657 ",,,
72,Zimbabwe,15229891,"390,757 sq_km","390,757 ",,,
73,Guinea,13709966,"245,857 sq_km","245,857 ",,,
74,Rwanda,13466174,"26,338 sq_km","26,338 ",,,
75,Benin,12644580,"112,622 sq_km","112,622 ",,,
76,Burundi,12469663,"27,834 sq_km","27,834 ",,,
77,Tunisia,12003225,"163,610 sq_km","163,610 ",,,
78,Bolivia,11927124,"1,098,581 sq_km","1,098,581 ",,,
79,Belgium,11658404,"30,528 sq_km","30,528 ",,,
80,Haiti,11623799,"27,750 sq_km","27,750 ",,,
81,South Sudan,11493450,"619,745 sq_km","619,745 ",,,
82,Cuba,11312548,"109,884 sq_km","109,884 ",,,
83,Dominican Republic,11015774,"48,671 sq_km","48,671 ",,,
84,Czech Republic,10732960,"78,865 sq_km","78,865 ",,,
85,Greece,10340571,"131,990 sq_km","131,990 ",,,
86,Jordan,10322902,"89,342 sq_km","89,342 ",,,
87,Azerbaijan,10272912,"86,600 sq_km","86,600 ",,,
88,Portugal,10150252,"92,090 sq_km","92,090 ",,,
89,Sweden,10196161,"450,295 sq_km","450,295 ",,,
90,Honduras,10156097,"112,492 sq_km","112,492 ",,,
91,United Arab Emirates,10051436,"83,600 sq_km","83,600 ",,,
92,Tajikistan,9873338,"143,100 sq_km","143,100 ",,,
93,Hungary,9618215,"93,028 sq_km","93,028 ",,,
94,Belarus,9438767,"207,600 sq_km","207,600 ",,,
95,Papua New Guinea,9220306,"462,840 sq_km","462,840 ",,,
96,Austria,9065484,"83,871 sq_km","83,871 ",,,
97,Israel,8868656,"20,770 sq_km","20,770 ",,,
98,Switzerland,8752564,"41,284 sq_km","41,284 ",,,
99,Serbia,8674489,"88,361 sq_km","88,361 ",,,
100,Togo,8596357,"56,785 sq_km","56,785 ",,,
101,Sierra Leone,8238113,"71,740 sq_km","71,740 ",,,
102,Hong Kong,7585785,"1,104 sq_km","1,104 ",,,
103,Laos,7439920,"236,800 sq_km","236,800 ",,,
104,Paraguay,7270717,"406,752 sq_km","406,752 ",,,
105,Libya,7007887,"1,759,540 sq_km","1,759,540 ",,,
106,Bulgaria,6866274,"110,879 sq_km","110,879 ",,,
107,Lebanon,6752766,"10,452 sq_km","10,452 ",,,
108,Nicaragua,6748507,"130,373 sq_km","130,373 ",,,
109,Kyrgyzstan,6689349,"199,951 sq_km","199,951 ",,,
